# 亞瑟王傳奇 譯名表（英文<TAB>中文<TAB>依據）
# [HARD] 第一順位：《軟體世界》第 18、19 期攻略（見 docs/20-walkthrough-glossary.md）
# [HARD] 攻略未收錄者，取 1990 廣告頁；兩者皆無才查通行中譯，不自創音譯
# [HARD] 遊戲用古拼法（Gawaine / Launcelot / Gwenhyver / Excaliber），別按現代拼法找
#
# --- 人名 ---
Arthur	亞瑟	攻略
King Arthur	亞瑟王	攻略／廣告
Gwenhyver	昆海兒	攻略 18 期 p.24
Launcelot	蘭斯洛特	攻略／廣告
Gawaine	高文	攻略／廣告（19 期更正欄：非 Gawain）
Galahad	葛拉漢	攻略／廣告
Merlin	梅林	攻略／廣告
Black Knight	黑武士	攻略／廣告
Mad Monk	瘋僧侶	攻略 18 期 p.25
Old Ones	古代幽靈	攻略 18 期 p.27
Lady of the Lake	湖中女神	攻略 18 期 p.24
Old Father Tree	老父樹	攻略 18 期 p.26
Saracen	撒拉遜武士	攻略 19 期 p.49
Widdershins	Widdershins	攻略保留原文（妖精名）
Tamra	泰姆拉	攻略 19 期 p.44
Fatima	法提瑪	攻略 19 期 p.44
Tariq	泰利克	攻略 19 期 p.44
Achmed	阿賀密德	攻略 19 期 p.44
Ismail	艾思美	攻略 19 期 p.45
Hayyam	哈耶姆	攻略 19 期 p.45
Fawaz	法瓦茲	攻略 19 期 p.45
Ali	阿里	攻略 19 期 p.45
Sarah	莎拉	攻略 19 期 p.45
Ibrahim	易布拉興	攻略 19 期 p.45
Mari	瑪麗	攻略 19 期 p.45
Farabi	法拉比	攻略 19 期 p.45
Ione	艾歐妮	攻略 19 期 p.45
Joshua	約書亞	攻略 19 期 p.45
Jabir	賈比耳	攻略 19 期 p.28
Hazm	哈慈	攻略 19 期 p.28
Al-Sirat	Al-Sirat	攻略保留原文（老學究）
Mohammed	穆罕默德	攻略 19 期 p.44
Elzer	艾爾澤	攻略 19 期 p.44
Adonis	阿度尼斯	攻略 19 期 p.47
Hippolytus	希波萊特斯	攻略 19 期 p.48
Pygmalion	皮格梅里恩	攻略 19 期 p.48
Sophia	索菲亞	攻略 19 期 p.47
#
# --- 地名 ---
Camelot	肯萊特	攻略（廣告作「甘美特」，依使用者指示以攻略為主）
Glastonbury Tor	格列斯登伯利山	攻略 18 期 p.25
Glastonbury	格列斯登伯利	攻略
Forest Perilous	派瑞樂斯森林	攻略 18 期 p.26 圖
Ot Moor	奧特摩爾	攻略 18 期 p.27
Southampton	南安普頓港	攻略 18 期 p.28
Gaza	加薩	攻略 18 期 p.28
Jerusalem	耶路撒冷	攻略 18 期 p.28
Zion Gate	錫安城門	攻略 19 期 p.44
Jaffa Gate	賈法城門	攻略 19 期 p.44
Catacomb	地下墓窖	攻略 19 期 p.47
Dublin	都柏林	攻略 18 期 p.28
Rennes	勒恩	攻略 18 期 p.28
Rome	羅馬	攻略 18 期 p.28
Thessalonica	帖撒羅尼迦	攻略 18 期 p.28
Al-Uzza	Al-Uzza	攻略保留原文（船名）
#
# --- 神祇與宗教 ---
Grail	聖杯	攻略／廣告
Goddess	女神	攻略
Christ	基督	攻略 19 期 p.49
Mithras	米夏拉	攻略 19 期 p.49
Cernunnos	Cernunnos	攻略保留原文（凱爾特獵神）
Gnostic	諾斯替教	攻略 19 期 p.47
Trinity	三位一體	攻略 18 期 p.27
Mother Moon	月亮之母	攻略 18 期 p.27
hierophant	祭司	攻略 19 期 p.47
relic	聖物	攻略 19 期 p.44
Athene	雅典娜	通行（攻略只給符號）
Isis	艾西斯	攻略 18 期 p.24
Ceres	席瑞絲	通行
Vesta	維斯塔	通行
Astarte	阿斯塔特	通行
Venus	維納斯	攻略 18 期 p.28
Aphrodite	阿芙羅黛蒂	★不沿用攻略的「維納斯」：遊戲中兩詞同句出現，須區分。理由見 docs/20
White Virgin	白色處女	攻略 19 期 p.46
Red Mother	紅色聖母	攻略 19 期 p.46
Black Crone	黑色老太婆	攻略 19 期 p.46
#
# --- 物品與概念 ---
Excaliber	聖劍	攻略 18 期 p.24「聖劍哪！聖劍！」
Round Table	圓桌	廣告
Crystal heart	水晶心	攻略 18 期 p.27
medallion	六角星項鍊	攻略 19 期 p.47
lodestone	指北針	攻略 19 期 p.49
Spiral	螺形紋飾	攻略 19 期 p.48
Elixir	解藥	攻略 19 期 p.48
Test of Symbols	符號考驗	攻略 19 期 p.46
dinar	金幣	攻略 19 期 p.44（幣制）
dirham	銀幣	攻略 19 期 p.44
fals	銅幣	攻略 19 期 p.44
Skill Points	技能點數	攻略 18 期 p.29 註記「技能（Skill）」
Wisdom Points	智慧點數	同上體例
Soul Points	靈魂點數	同上體例
